,Date,DOY,U,Ta,RH min,ETo,hc,growth_stage,Rz,TAW,MAD,RAW,dMAD,Kcb_daily,Kcmax,TEW,REW,fc,few,Precip,Irr,Di_start,Kr,Ke,fewKcmax,Ks,Kco,KeETo,ETa,DP,Di_end,irrigate
10,2005-05-25,145,1.47,20.16,65.26,3.57,0.11,ini,0.25,22.650000000000006,0.5,11.325000000000003,11.325000000000003,0.15,1.1633687037459581,12,7,0.0,1.0,0.0,0.0,3.8124245116394015,1.0,1.0133687037459582,1.1633687037459581,1.0,1.1633687037459581,3.6177262723730705,4.15322627237307,0.0,7.965650784012471,not yet
11,2005-05-26,146,1.39,18.21,68.0,3.32,0.11,ini,0.26,23.556000000000008,0.5,11.778000000000004,11.778000000000004,0.15,1.1582953552037316,12,7,0.0,1.0,0.0,23.4,7.965650784012471,0.8068698431975058,0.8135631151500083,1.1582953552037316,1.0,0.9635631151500084,2.7010295422980275,3.1990295422980277,12.2353196736895,0.0,not yet
12,2005-05-27,147,1.3,16.76,86.69,2.3,0.11,ini,0.26999999999999996,24.462000000000003,0.5,12.231000000000002,12.231000000000002,0.15,1.1302199603048004,12,7,0.0,1.0,0.0,0.0,0.0,1.0,0.9802199603048004,1.1302199603048004,1.0,1.1302199603048004,2.2545059087010406,2.599505908701041,0.0,2.599505908701041,not yet
13,2005-05-28,148,1.34,20.11,74.49,2.81,0.11,ini,0.27999999999999997,25.368000000000002,0.5,12.684000000000001,12.684000000000001,0.15,1.1482776415567928,12,7,0.0,1.0,0.0,0.0,2.599505908701041,1.0,0.9982776415567928,1.1482776415567928,1.0,1.1482776415567928,2.805160172774588,3.226660172774588,0.0,5.826166081475629,not yet
14,2005-05-29,149,1.42,23.04,53.77,4.59,0.11,ini,0.2899999999999999,26.274,0.5,13.137,13.137,0.15,1.1791190146157515,12,7,0.0,1.0,0.0,23.5,5.826166081475629,1.0,1.0291190146157516,1.1791190146157515,1.0,1.1791190146157515,4.7236562770863,5.412156277086299,12.261677641438073,0.0,not yet
15,2005-05-30,150,1.16,26.19,42.32,4.84,0.12,ini,0.29999999999999993,27.18,0.5,13.59,13.59,0.15,1.1918023859713176,12,7,0.0,1.0,0.0,0.0,0.0,1.0,1.0418023859713177,1.1918023859713176,1.0,1.1918023859713176,5.042323548101177,5.768323548101177,0.0,5.768323548101177,not yet
16,2005-05-31,151,1.45,29.3,45.13,4.84,0.12,ini,0.30999999999999994,28.086000000000002,0.5,14.043000000000001,14.043000000000001,0.15,1.1919313694088318,12,7,0.0,1.0,0.0,19.9,5.768323548101177,1.0,1.041931369408832,1.1919313694088318,1.0,1.1919313694088318,5.042947827938746,5.768947827938746,8.362728623960075,0.0,not yet
17,2005-06-01,152,0.89,27.51,67.63,3.32,0.14,ini,0.31999999999999995,28.992000000000004,0.5,14.496000000000002,14.496000000000002,0.15,1.1516598739182773,12,7,0.0,1.0,0.0,18.6,0.0,1.0,1.0016598739182774,1.1516598739182773,1.0,1.1516598739182773,3.325510781408681,3.8235107814086806,14.77648921859132,0.0,not yet
18,2005-06-02,153,1.13,20.8,96.94,1.5,0.17,ini,0.32999999999999996,29.898000000000003,0.5,14.949000000000002,14.949000000000002,0.15,1.1130938261015217,12,7,0.0,1.0,18.16,0.0,0.0,1.0,0.9630938261015217,1.1130938261015217,1.0,1.1130938261015217,1.4446407391522826,1.6696407391522827,16.49035926084772,0.0,not yet
19,2005-06-03,154,0.92,24.0,66.21,4.3,0.18,ini,0.33999999999999997,30.804000000000006,0.5,15.402000000000003,15.402000000000003,0.15,1.1541248907241048,12,7,0.0,1.0,0.0,0.0,0.0,1.0,1.004124890724105,1.1541248907241048,1.0,1.1541248907241048,4.317737030113651,4.962737030113651,0.0,4.962737030113651,not yet
20,2005-06-04,155,2.07,23.4,80.65,3.8,0.19,dev,0.35,31.710000000000004,0.5,15.855000000000002,15.855000000000002,0.15,1.1191374432162413,12,7,0.0,1.0,11.05,0.0,4.962737030113651,1.0,0.9691374432162413,1.1191374432162413,1.0,1.1191374432162413,3.682722284221717,4.252722284221717,1.8345406856646331,0.0,not yet
21,2005-06-05,156,0.92,25.73,66.64,4.08,0.2,dev,0.36,32.61600000000001,0.5,16.308000000000003,16.308000000000003,0.17794117647058824,1.124944739855075,12,7,0.02009051902340944,0.9799094809765906,0.0,0.0,0.0,1.0,0.9470035633844867,1.1023440161587321,1.0,1.124944739855075,3.8637745386087055,4.589774538608705,0.0,4.589774538608705,not yet
22,2005-06-06,157,1.0,28.02,63.05,4.59,0.22,dev,0.37,33.522000000000006,0.5,16.761000000000003,16.761000000000003,0.20588235294117646,1.1351017248130348,12,7,0.041372417719836775,0.9586275822801632,0.0,0.0,4.589774538608705,1.0,0.9292193718718584,1.0881398220995628,1.0,1.1351017248130348,4.26511691689183,5.210116916891829,0.0,9.799891455500536,not yet
23,2005-06-07,158,1.2,28.02,60.66,4.84,0.24,dev,0.37999999999999995,34.428000000000004,0.5,17.214000000000002,17.214000000000002,0.2338235294117647,1.1452587097709948,12,7,0.06258662760181927,0.9374133723981808,0.0,0.0,9.799891455500536,0.4400217088998929,0.40105126561315046,1.0735808293948175,1.0,0.6348747950249152,1.9410881255676482,3.0727940079205895,0.0,12.872685463421124,not yet
24,2005-06-08,159,1.49,24.84,53.56,5.35,0.26,dev,0.38999999999999996,35.334,0.5,17.667,17.667,0.26176470588235295,1.1683953497663477,12,7,0.08234528696848621,0.9176547130315138,0.0,0.0,12.872685463421124,0.0,0.0,1.072183499397193,1.0,0.26176470588235295,0.0,1.4004411764705882,0.0,14.273126639891712,not yet
25,2005-06-09,160,1.04,22.38,66.16,4.08,0.27,dev,0.39999999999999997,36.24000000000001,0.5,18.120000000000005,18.120000000000005,0.28970588235294115,1.128831695374294,12,7,0.1097400286291877,0.8902599713708123,0.0,0.0,14.273126639891712,0.0,0.0,1.0049536728063846,1.0,0.28970588235294115,0.0,1.182,0.0,15.455126639891713,not yet
26,2005-06-10,161,1.11,23.4,65.53,4.08,0.29,dev,0.4099999999999999,37.146,0.5,18.573,18.573,0.3176470588235294,1.131908868493676,12,7,0.132133167403504,0.867866832596496,0.0,0.0,15.455126639891713,0.0,0.0,0.9823461644874903,1.0,0.3176470588235294,0.0,1.296,0.0,16.751126639891712,not yet
